data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Electricity,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,786.9907,941814.4,24.02,22.85,1.4195,3.0639,177.13,157.48,1963.3488824367523,0.9257073402404785,0.000884687850332933
Electricity,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,786.9907,941814.4,24.02,22.85,1.4195,3.0639,177.13,157.48,2336.0315642356873,1.029707670211792,0.002208788493316344
Exchange,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.1128,0.0174,14.65,16.1,2.0273,5.6323,78.87,119.82,580.9320755004883,2.0003602504730225,0.001326445030598047
Exchange,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,0.1128,0.0174,14.65,16.1,2.0273,5.6323,78.87,119.82,573.0091896057129,2.0253212451934814,0.000884687850332933
Exchange,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,0.1128,0.0174,14.65,16.1,2.0273,5.6323,78.87,119.82,679.622617483139,2.104327917098999,0.002208788493316344
Exchange,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.1162,0.0184,15.09,16.61,2.0879,5.944,81.23,123.31,568.8305478096008,0.9284830093383789,0.001326445030598047
Exchange,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,0.1162,0.0184,15.09,16.61,2.0879,5.944,81.23,123.31,564.6494491100311,0.9687199592590332,0.000884687850332933
Exchange,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,0.1162,0.0184,15.09,16.61,2.0879,5.944,81.23,123.31,662.428141117096,1.1166744232177734,0.002208788493316344
Exchange,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.1153,0.0177,14.97,16.42,2.0717,5.7261,80.6,122.09,557.0694723129272,0.585813045501709,0.001326445030598047
Exchange,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,0.1153,0.0177,14.97,16.42,2.0717,5.7261,80.6,122.09,546.6112217903137,0.5967710018157959,0.000884687850332933
Exchange,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,0.1153,0.0177,14.97,16.42,2.0717,5.7261,80.6,122.09,641.4772217273712,0.6344058513641357,0.002208788493316344
Exchange,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.1145,0.0196,14.87,16.0,2.0571,6.3366,80.03,119.35,513.2773876190186,0.32291603088378906,0.001326445030598047
Exchange,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,0.1145,0.0196,14.87,16.0,2.0571,6.3366,80.03,119.35,508.31087136268616,0.3408832550048828,0.000884687850332933
